Id,Name,Zipcode Address,Address,State,Phone Number,Town,Lat,Lng,Link,Category,Zipcode,Business Name,Latitude,Longitude,Website
1,5 Points,,"756 S Stone Ave, Tucson, AZ 85701",Arizona,(520) 623 3888,Tucson,32.212219,-110.969093,https://www.5pointstucson.com/,Bar/Restaurant,,,,,
2,AJ's Fine Foods - Arcadia,,"4430 E Camelback Road, Phoenix, AZ 85018",Arizona,(602) 552 0956,Phoenix,33.50974,-111.986,https://www.ajsfinefoods.com/,Retail Store,,,,,
3,AJ's Fine Foods - Camelback,,"5017 N. Central Avenue, Phoenix, AZ 85012",Arizona,(602) 230 7015,Phoenix,33.50989,-112.07203,https://www.ajsfinefoods.com/,Retail Store,,,,,
4,AJ's Fine Foods - Glendale,,"20050 N 67th Ave, Glendale, AZ 85308",Arizona,(623) 537 2300,Phoenix,33.66584,-112.20315,https://www.ajsfinefoods.com/,Retail Store,,,,,
5,AJ's Fine Foods - Lincoln,,"7141 E Lincoln Drive, Phoenix, AZ 85253",Arizona,(480) 998 0052,Phoenix,33.53192,-112.00598,https://www.ajsfinefoods.com/,Retail Store,,,,,
6,AJ's Fine Foods - Lone Mountain,,"31311 N. Scottsdale Road, Scottsdale, AZ 85266",Arizona,(480) 575 6200,Phoenix,33.76897,-111.92453,https://www.ajsfinefoods.com/,Retail Store,,,,,
7,AJ's Fine Foods - Mesa,,"1836 S. Val Vista Drive, Mesa, AZ 85204",Arizona,(480) 507 7280,Phoenix,33.38201,-111.75691,https://www.ajsfinefoods.com/,Retail Store,,,,,
8,AJ's Fine Foods - Tucson,,"2805 E Skyline Dr, Tucson, AZ 85718",Arizona,(520) 232 6340,Tucson,32.32638,-110.9126,https://www.ajsfinefoods.com/,Retail Store,,,,,
9,Andaz Scottsdale,,"6114 N Scottsdale Rd, Scottsdale, AZ 85253, USA",Arizona,(480) 368-1234,Phoenix,33.52728,-111.92904,https://www.andazscottsdale.com/,Retail Store,,,,,
10,Anello,,"222 E 6th St, Tucson, AZ 85705",Arizona,,Tucson,32.22744,-110.96805,https://anello.space/,Bar/Restaurant,,,,,
11,Annex Cocktail Lounge,,"50 S San Francisco St, Flagstaff, AZ 86001, USA",Arizona,(928) 779-2811,Flagstaff,35.195585,-111.64865,https://www.annexcocktaillounge.com/,Bar/Restaurant,,,,,
12,Arizona Country Club,,"5668 E Orange Blossom Ln, Phoenix, AZ 85018",Arizona,(480) 889-1505,Phoenix,33.4859,-111.9657,https://www.azcountryclub.com,Bar/Restaurant,,,,,
13,Atria,,"103 N Leroux St, Flagstaff, AZ 86001, USA",Arizona,(928) 440-4377,Flagstaff,35.19874,-111.64874,https://www.atriarestaurant.com/,Bar/Restaurant,,,,,
14,AZ Wilderness DTPHX,,"201 E Roosevelt St, Phoenix, AZ 85004",Arizona,(480) 462 1836,Phoenix,33.458611,-112.071228,https://www.azwbeer.com/dtphx/,Bar/Restaurant,,,,,
15,Bacanora,,"1301 NW Grand Ave Unit 1, Phoenix, AZ 85004, USA",Arizona,(602) 612-4018,Phoenix,33.45714,-112.089867,https://www.bacanoraphx.com/,Bar/Restaurant,,,,,
16,Bar Bata,,"35 E Toole Ave, Tucson, AZ 85701",Arizona,(520) 367-4718,Tucson,32.22626,-110.97079,https://www.batatucson.com/,Bar/Restaurant,,,,,
17,Bata,,"35 E Toole Ave, Tucson, AZ 85701",Arizona,(520) 367-4718,Tucson,32.22626,-110.97079,https://www.batatucson.com/,Bar/Restaurant,,,,,
18,Bear & Dragon,,"334 S Montezuma St, Prescott, AZ 86303",Arizona,(928) 445-4333,Prescott,34.53666,-112.47075,https://www.beardragon.cafe/,Bar/Restaurant,,,,,
19,Beaver St. Liquors,,"824 N Beaver St, Flagstaff, AZ 86001, USA",Arizona,(928) 774-8502,Flagstaff,35.20596,-111.64611,https://beaverstliquor.com/,Retail Store,,,,,
20,Beginner's Luck,,"7240 E Main St, Scottsdale, AZ 85251",Arizona,(480) 571-0416,Phoenix,33.4934,-111.9241,https://www.beginnersluckaz.com/,Bar/Restaurant,,,,,
21,Belly,,"4971 N 7th Ave, Phoenix, AZ 85007, USA",Arizona,(602) 296-4452,Phoenix,33.50882,-112.082165,https://www.bellyphx.com/,Bar/Restaurant,,,,,
22,Belly - Gilbert,,"3150 E Ray Rd, Gilbert, AZ 85296",Arizona,(480) 500 6464,Phoenix,33.32205,-111.72333,https://www.bellyphx.com/,Bar/Restaurant,,,,,
23,Belly Kitchen & Bar - Gilbert,,"3150 E Ray Rd #180, Gilbert, AZ 85296",Arizona,(480) 500-6464,Phoenix,33.3221,-111.7238,https://www.bellyphx.com/gilbert/belly-gilbert,Bar/Restaurant,,,,,
24,BevMo (Chandler),,"6705 W Happy Valley Rd, Chandler, AZ 85249",Arizona,(480) 821-2500,Phoenix,33.265892,-111.820847,https://www.bevmo.com/stores/chandler-az,Retail Store,,,,,
25,BevMo (Glendale),,"6780 W Bell Rd, Glendale, AZ 85308",Arizona,(623) 334-3017,Phoenix,33.638233,-112.202145,https://www.bevmo.com/stores/glendale-az,Retail Store,,,,,
26,BevMo (Goodyear),,"15405 W McDowell Rd, Goodyear, AZ 85395",Arizona,(623) 537-2300,Phoenix,33.461222,-112.391362,https://www.bevmo.com/stores/goodyear-az,Retail Store,,,,,
27,BevMo (Happy Valley),,"2501 W Happy Valley Rd, Phoenix, AZ 85085",Arizona,(623) 581-6602,Phoenix,33.714493,-112.111245,https://www.bevmo.com/stores/phoenix-az,Retail Store,,,,,
28,BevMo (Peoria),,"2480 W Happy Valley Rd, Peoria, AZ 85085",Arizona,(623) 580-1145,Phoenix,33.714493,-112.111245,https://www.bevmo.com/stores/peoria-az,Retail Store,,,,,
29,BevMo (Scottsdale),,"3450 N Scottsdale Rd, Scottsdale, AZ 85251",Arizona,(480) 946-0591,Phoenix,33.483108,-111.924874,https://www.bevmo.com/stores/scottsdale-az,Retail Store,,,,,
30,BevMo (Tucson),,"6228 E Broadway Blvd, Suite 100, Tucson, AZ 85711",Arizona,(520) 514-0695,Tucson,32.2237,-110.8631,https://www.bevmo.com/,Retail Store,,,,,
31,Biga,,"623 Miller Valley Rd, Prescott, AZ 86301, USA",Arizona,(928) 227-2543,Precott,34.55239,-112.479615,https://www.bigaprescott.com/,Bar/Restaurant,,,,,
32,Black Sheep Wine Bar + Merchant,,"440 Main St, New Rochelle, NY 10801",Arizona,(914) 632-2822,Phoenix,40.911491,-73.782925,https://www.mainwinesusa.com,Retail Store,,,,,
33,Blue Front,,"1000 Boston Post Road, Rye, NY 10580",Arizona,(914) 967-2276,Tucson,40.98177,-73.68335,https://postroadmarket.com,Bar/Restaurant,,,,,
34,Brewha,,"1160 S Page Springs Rd, Cornville, AZ 86325",Arizona,,Cottonwood,34.71834,-111.90404,https://www.brewhaaz.com/,Bar/Restaurant,,,,,
35,Brix,,"413 N San Francisco St, Flagstaff, AZ 86001, USA",Arizona,(928) 213-1021,Flagstaff,35.201365,-111.646675,https://www.brixflagstaff.com/,Bar/Restaurant,,,,,
36,BZ's Italian Kitchen,,"7856 E Wrightstown Rd, Tucson, AZ 85715, USA",Arizona,(520) 546-1402,Tucson,32.24931,-110.82474,https://www.bzsitaliankitchen.com/,Bar/Restaurant,,,,,
37,Canopy Tempe,,"108 E University Dr, Tempe, AZ 85281",Arizona,(602) 612-9600,Phoenix,33.422001,-111.93766,https://www.hilton.com/en/hotels/phxcpup-canopy-tempe-downtown/,Bar/Restaurant,,,,,
38,Cellars Fine Wine,," 3330 N 32nd St, Phoenix, AZ 85018",Arizona,(602) 522-0008,Phoenix,33.49394,-111.99948,,Retail Store,,,,,
39,Century Grand,,"3626 E Indian School Rd, Phoenix, AZ 85018, United States",Arizona,(602) 739-1388,Phoenix,33.495978,-111.985099,https://centurygrandphx.com/,Bar/Restaurant,,,,,
40,Citizen Public House,,"7111 E 5th Ave, Scottsdale, AZ 85251",Arizona,(480) 398-4208,Phoenix,33.4996,-111.9276,https://www.citizenpublichouse.com/,Bar/Restaurant,,,,,
41,Clark's Market,,"100 Verde Valley School Rd, Sedona, AZ 86351, USA",Arizona,(928) 284-1144,Sedona,34.77859,-111.764681,https://www.clarksmarket.com/sedona,Retail Store,,,,,
42,Cocina Chiwas,,"2001 E Apache Blvd, Tempe, AZ 85281",Arizona,,Phoenix,33.41342,-111.90027,https://www.tacoschiwas.com/,Bar/Restaurant,,,,,
43,Contigo,,"3770 E Sunrise Dr, Tucson, AZ 85718, USA",Arizona,(520) 299-1540,Tuscon,32.31394,-110.91695,http://eatatcontigo.com/,Bar/Restaurant,,,,,
44,Cork & Catch,,"1750 E Villa Dr, Cottonwood, AZ 86326",Arizona,(928) 649 2675,,34.72669,-112.00711,https://www.corkandcatch.com/,Bar/Restaurant,,,,,
45,County Seat,,"120 W Gurley St, Prescott, AZ 86301, USA",Arizona,(928) 515-3359,Precott,34.542125,-112.469464,https://www.countyseataz.com/,Bar/Restaurant,,,,,
46,Creekside,,"251 AZ-179, Sedona, AZ 86336",Arizona,(928) 282-1705,Sedona,34.863762,-111.76339,http://www.creeksidesedona.com,Bar/Restaurant,,,,,
47,Crisol,,"196 W Simpson St, Tucson, AZ 85701",Arizona,,Tucson,32.21566,-110.97366,https://exocoffee.com/pages/crisol-bar,Bar/Restaurant,,,,,
48,Dellepiane ,,"The Collective Plaza Sedona, AZ 86351, USA",Arizona,(928) 862-4129,Sedona,34.782441,-111.763667,http://www.dellepianeburger.com/,Bar/Restaurant,,,,,
49,Eden ,,"2 E Jefferson St, Phoenix, AZ 85004",Arizona,(602) 258 0231,Phoenix,33.447411,-112.07357,https://edenbarphoenix.com/,Bar/Restaurant,,,,,
50,Egyptian Motor Hotel,,"1445 W Fillmore St, Phoenix, AZ 85007, United States",Arizona,(602) 258-7101,Phoenix,33.451324,-112.090553,https://www.egyptianmotorhotel.com/,Bar/Restaurant,,,,,
51,El Gato Azul ,,"316 W Goodwin St, Prescott, AZ 86303, USA",Arizona,(928) 445-1070,Precott,34.540205,-112.472425,https://www.elgatoazulprescott.com/,Bar/Restaurant,,,,,
52,El Torero,,"231 E 26th St, Tucson, AZ 85713",Arizona,(520) 622-9533,Tucson,32.2016,-110.9684,,Bar/Restaurant,,,,,
53,Elephante Scottsdale,,"7014 E Camelback Rd, Scottsdale, AZ 85251",Arizona,(480) 687-8900,Phoenix,33.50259,-111.929169,https://www.elephante.com/,Restaurant,,,,,
54,Enchantment Resort,,"525 Boynton Canyon Rd, Sedona, AZ 86336, USA",Arizona,(928) 282-2900,Sedona,34.91358,-111.853165,https://www.enchantmentresort.com/,Bar/Restaurant,,,,,
55,Ermanos,,"220 N 4th Ave, Tucson, AZ 85705",Arizona,(520) 445-6625,Tucson,32.2251,-110.9655,https://www.ermanosbrew.com/,Bar/Restaurant,,,,,
56,Espiritu,,"123 Main St, Mesa, AZ 85201, USA",Arizona,(480) 398-8129,Phoenix,33.41502,-111.83583,https://www.espiritumesa.com/,Bar/Restaurant,,,,,
57,Etta,,"7555 N 16th St, Phoenix, AZ 85020, United States",Arizona,(480) 586-0960,Phoenix,33.556895,-112.050332,https://ettarestaurant.com/,Bar/Restaurant,,,,,
58,EVO - North Scottsdale,,"6186 N Scottsdale Rd, Scottsdale, AZ 85253",Arizona,(480) 265-9814,Phoenix,33.52846,-111.9266,https://www.evoscottsdale.com/,Bar/Restaurant,,,,,
59,Fairmont Scottsdale Princess,,"7575 E Princess Dr, Scottsdale, AZ 85255, USA",Arizona,(480) 585-4848,Phoenix,33.64896,-111.92457,https://www.scottsdaleprincess.com/,Bar/Restaurant,,,,,
60,Fairweather Social Club,,"224 N Cortez St, Prescott, AZ 86301",Arizona,(928) 515-3359,Prescott,34.544727,-112.469063,https://www.fairweatherprescott.com/,Bar/Restaurant,,,,,
61,Fat Ox,,"6316 N Scottsdale Rd, Scottsdale, AZ 85253",Arizona,(480) 307-6900,Phoenix,33.5319,-111.9244,https://ilovefatox.com/,Bar/Restaurant,,,,,
62,Feast,,"3719 E Speedway Blvd, Tucson, AZ 85716",Arizona,(520) 326-9363,Tucson,32.23715,-110.91882,https://www.eatatfeast.com/,Bar/Restaurant,,,,,
63,First and Last,,"1001 N 3rd Ave, Phoenix, AZ 85003",Arizona,(602) 975-8297,Phoenix,33.4622,-112.0785,https://www.firstandlastphx.com/,Bar/Restaurant,,,,,
64,Flagstaff Liquor,,"1700 E. Route 66, Flagstaff, AZ 86004",Arizona,(928) 266 0061,Flagstaff,35.219478,-111.599953,https://www.flagstaffliquor.com/,Retail Store,,,,,
65,Fleming's Steakhouse,,"6360 N Campbell Ave, Tucson AZ 85718",Arizona,(520) 529 5017,Tucson,32.321939,-110.928393,https://www.flemingssteakhouse.com/Locations/AZ/Tucson,Bar/Restaurant,,,,,
66,Flint,,"2425 E Camelback Rd, Phoenix, AZ 85016",Arizona,(602) 812 4818,Phoenix,33.50861,-112.028091,https://www.flintbybaltaire.com/,Bar/Restaurant,,,,,
67,FnB,,"7125 E 5th Ave, Suite 31, Scottsdale, AZ 85251, USA",Arizona,(480) 284-4777,Phoenix,33.497815,-111.927272,http://www.fnbrestaurant.com/,Bar/Restaurant,,,,,
68,Forbes Meat Company,,"747 S 6th Ave, Tucson, AZ 85701",Arizona,(520) 474 2714,Tucson,32.212257,-110.968089,https://forbesmeatcompany.com/,Bar/Restaurant,,,,,
69,Foret,,"2 S Beaver St #170, Flagstaff, AZ 86001",Arizona,(928) 214-7280,Flagstaff,35.1974,-111.6513,http://www.foretflagstaff.com,Bar/Restaurant,,,,,
70,Fox Theatre,,"17 W Congress St, Tucson, AZ 85701",Arizona,(520) 547 3040,Tucson,32.222118,-110.971703,https://foxtucson.com/,Bar/Restaurant,,,,,
71,Francine Restaurant,,"4710 N Goldwater Blvd, Scottsdale, AZ 85251",Arizona,(480) 690-6180,Phoenix,33.5045,-111.9281,http://www.francinerestaurant.com,Bar/Restaurant,,,,,
72,Gainey Ranch,,"7600 E Gainey Club Dr, Scottsdale, AZ 85258, United States",Arizona,(480) 951-0022,Phoenix,33.567726,-111.919004,https://www.gaineyranch.com/,Bar/Restaurant,,,,,
73,Gerardo's Italian Kitchen,,"2675 W State Rte 89A, Sedona, AZ 86336, USA",Arizona,(928) 862-4009,Sedona,34.86226,-111.806715,https://gerardositaliankitchen.com/,Bar/Restaurant,,,,,
74,Gertrude's,,"Desert Botanical Garden, 1201 N. Galvin Parkway Phoenix, AZ 85008",Arizona,(480) 719 8600,Phoenix,33.460055,-111.945795,https://dbg.org/gertrudes-restaurant/,Bar/Restaurant,,,,,
75,Glai Baan,,"2333 E Osborn Rd, Phoenix, AZ 85016, USA",Arizona,(602) 595-5881,Phoenix,33.48728,-112.030855,https://www.glaibaanaz.com/,Bar/Restaurant,,,,,
76,Good Oak Bar,,"316 E Congress St, Tucson, AZ 85701, United States",Arizona,(520) 882-2007,Tucson,32.221616,-110.970659,https://www.goodoakbar.com/,Bar/Restaurant,,,,,
77,Gracie's Tax Bar,,"711 N 7th Av, Phoenix, AZ 85007, USA",Arizona,(602) 366 0111,Phoenix,33.456415,-112.082215,http://www.graciesphx.com/,Bar/Restaurant,,,,,
78,Grand Canyon Spirits,,"982 N Fort Valley Rd, Flagstaff, AZ 86001, USA",Arizona,(928) 779-6423,Flagstaff,35.20715,-111.64806,https://grandcanyonspirits.com/,Retail Store,,,,,
79,Hacienda Del Sol,,"5501 N Hacienda del Sol Road, Tucson, AZ 85718, USA",Arizona,800-728-6514,Tucson,32.30746,-110.9155,https://www.haciendadelsol.com/,Bar/Restaurant,,,,,
80,Hidden House,,"159 W Commonwealth Ave, Chandler, AZ 85225, USA",Arizona,(480) 275-5525,Phoenix,33.30309,-111.84353,https://hiddenhouseaz.com/,Bar/Restaurant,,,,,
81,Highball,,"1514 N 7th Ave, Phoenix, AZ 85007",Arizona,,Phoenix,33.465179,-112.082581,https://www.highballphx.com/,Bar/Restaurant,,,,,
82,Hotel Congress,,"311 E Congress St, Tucson, AZ 85701, USA",Arizona,520-622-8848,Tuscon,32.22233,-110.96664,https://hotelcongress.com/,Bar/Restaurant,,,,,
83,Hotel Monte Vista,,"100 N San Francisco St, Flagstaff, AZ 86001",Arizona,(928) 779 6971,Flagstaff,35.198318,-111.647247,https://hotelmontevista.com/,Bar/Restaurant,,,,,
84,Josephine's,,"503 N Humphreys St, Flagstaff, AZ 86001",Arizona,(928) 779 3400,Flagstaff,35.20322,-111.64938,https://www.josephinesrestaurant.com/,Bar/Restaurant,,,,,
85,Judi's Restaurant & Lounge,,"40 Soldiers Pass Rd, Sedona, AZ 86336",Arizona,(928) 282 4449,Sedona,34.86322,-111.78281,https://sedonarestaurants.com/,Bar/Restaurant,,,,,
86,Juniper,,"222 E Congress St, Tucson, AZ 85701",Arizona,(520) 232 2530,Tucson,32.22191,-110.96793,https://www.junipertucson.com/,Bar/Restaurant,,,,,
87,Junipine Resort,,"8351 AZ-89A, Sedona, AZ 86336",Arizona,(928) 852 4589,Sedona,34.96445,-111.75392,https://www.junipine.com/,Bar/Restaurant,,,,,
88,Kingfisher,,"2564 E Grant Rd, Tucson, AZ 85716, USA",Arizona,(520) 323-7739,Tucson,32.24994,-110.9335,https://kingfishertucson.com/,Bar/Restaurant,,,,,
89,L'Auberge de Sedona,,"301 Little Ln, Sedona, AZ 86336, USA",Arizona,(855) 905-5745,Sedona,34.86712,-111.76153,https://www.lauberge.com/,Bar/Restaurant,,,,,
90,La Grande Orange Grocery,,"4410 N 40th St, Phoenix, AZ 85018",Arizona,(602) 840 7777,Phoenix,33.502129,-111.995758,https://lagrandeorangegrocery.com/,Retail Store,,,,,
91,Linger Longer Lounge,,"6522 N 16th St, Phoenix, AZ 85016, USA",Arizona,(602) 694-0342,Phoenix,33.53184,-112.04761,https://www.facebook.com/lingerlongerloungeaz/,Bar/Restaurant,,,,,
92,Liquor Barn,,"315 Bus Park Dr, Chino Valley, AZ 86323",Arizona,(928) 778-0118,Prescott,34.769345,-112.453774,https://www.liquorbarnaz.com/,Retail Store,,,,,
93,Liquor Vault,,"9301 E Shea Blvd, Scottsdale, AZ 85260",Arizona,(480) 860 0982,Phoenix,33.58242,-111.88062,http://www.azliquorvault.com/,Retail Store,,,,,
94,Little Rituals ,,"132 S Central Ave 4th Floor, Phoenix, AZ 85004, USA",Arizona,(602) 603-2050,Phoenix,33.44659,-112.0739,https://littleritualsbar.com/,Bar/Restaurant,,,,,
95,Lloyd's Liquors,,"1102 W Iron Springs Rd, Prescott, AZ 86305, USA",Arizona,(928) 778-0310,Precott,34.5592,-112.48363,https://lloydsliquors.com/,Retail Store,,,,,
96,Locale,,"60 N Alvernon Way, Tucson, AZ 85711",Arizona,(520) 398 7553,Tucson,32.222988,-110.908722,https://localetucson.com/,Bar/Restaurant,,,,,
97,Loews Ventana Canyon Resort,,"7000 N Resort Dr, Tucson, AZ 85750",Arizona,(520) 299-2020,Tucson,32.3246,-110.8457,https://www.loewshotels.com/ventana-canyon,Bar/Restaurant,,,,,
98,LON'S at The Hermosa Inn,,"5532 N Palo Cristi Rd,Paradise Valley, AZ 85253, USA",Arizona,(602) 955-7878,Phoenix,33.518275,-112.004888,https://www.hermosainn.com/dining/lons,Bar/Restaurant,,,,,
99,Lovecraft,,"3128 E Cactus Rd, Phoenix, AZ 85032",Arizona,(602) 237-5046,Phoenix,33.597336,-112.01392,https://lovecraftphx.com/,Bar/Restaurant,,,,,
100,Majestic Marketplace,,"601 Piccadilly Drive, Flagstaff, AZ 86001, USA",Arizona,(928) 773-0313,Flagstaff,35.190915,-111.64272,https://majesticmarketplaceaz.com/,Retail Store,,,,,
101,MercBar,,"2525 E Camelback Rd, Phoenix, AZ 85016",Arizona,(602) 252 2222,Phoenix,33.51098,-112.02811,http://mercbaraz.com/,Bar/Restaurant,,,,,
102,Mesa Grill,,"1185 Airport Rd, Sedona, AZ 86336",Arizona,(928) 282-2400,Sedona,34.8547,-111.7883,https://www.mesagrillsedona.com,Bar/Restaurant,,,,,
103,Mingle & Graze,,"48 S San Marcos Pl, Chandler, AZ 85225, USA",Arizona,(480) 726-2264,Phoenix,33.30291,-111.842545,https://mingleandgraze.com/,Bar/Restaurant,,,,,
104,Mini Bar,,"MSA Annexe, 267 South Avenida del Convento, Tucson, AZ 85745",Arizona,,Tucson,32.22001,-110.98527,https://www.instagram.com/thisisminibar/,Bar/Restaurant,,,,,
105,Mission Restaurant,,"3815 N Brown Ave, Scottsdale, AZ 85251",Arizona,(480) 636-5005,Phoenix,33.4933,-111.9224,https://www.themissionaz.com/the-mission-old-town-1/,Bar/Restaurant,,,,,
106,Mother Road,,"7 S Mikes Pike St, Flagstaff, AZ 86001",Arizona,(928) 774-9139,Flagstaff,35.1982,-111.6523,https://www.motherroadbeer.com,Bar/Restaurant,,,,,
107,Neighbor Market,,"901 N 1st St #109, Phoenix, AZ 85004, USA",Arizona,,Phoenix,33.45779307,-112.0724503,https://www.neighbormarketphx.com/,Retail Store,,,,,
108,Nook Kitchen,,"4231 E Indian School Rd, Phoenix, AZ 85018",Arizona,(602) 296 5655,Phoenix,33.49464,-111.98977,https://nookkitchen.com/,Bar/Restaurant,,,,,
109,North Italia,,"2995 E Skyline Dr Tucson, AZ 85718, USA",Arizona,(520) 299-1600,Tucson,32.32503,-110.92846,https://www.northitalia.com/locations/tucson-az-la-encantada/,Bar/Restaurant,,,,,
110,Ocotillo,,"3243 N 3rd St, Phoenix, AZ 85012, USA",Arizona,(602) 687-9080,Phoenix,33.48542,-112.068775,https://www.ocotillophx.com/,Bar/Restaurant,,,,,
111,Owls Club,,"236 S Scott Ave, Tucson, AZ 85701",Arizona,(520) 207-5678,Tucson,32.21868,-110.96993,https://www.owlsclubwest.com/,Bar/Restaurant,,,,,
112,Park Plaza Liquor & Deli,,"402 W Goodwin St, Prescott, AZ 86303, USA",Arizona,(928) 541-9894,Precott,34.5403,-112.473485,https://www.parkplazaliquor.com/,Retail Store,,,,,
113,Penca,,"50 E Broadway Blvd, Tucson, AZ 85701, USA",Arizona,(520) 203-7681,Tucson,32.22087,-110.97002,https://pencarestaurante.com/,Bar/Restaurant,,,,,
114,Pigtails Desert Ridge,,"21001 N Tatum Blvd, Phoenix, AZ 85050",Arizona,(480) 500 5358,Phoenix,33.677158,-111.977242,https://www.pigtailscocktails.com/,Bar/Restaurant,,,,,
115,Pigtails Downtown,,"1 E Washington St, Phoenix, AZ 85004",Arizona,(602) 675 4416,Phoenix,33.447922,-112.07357,https://www.pigtailscocktails.com/,Bar/Restaurant,,,,,
116,PJ's Village Pub,,"40 W Cortez Dr, Sedona, AZ 86351",Arizona,(928) 284 22250,Sedona,34.7805,-111.7641,https://www.pjsvillagepub.com/,Bar/Restaurant,,,,,
117,Plaza,,"2642 N Campbell Ave, Tucson, AZ 85719, USA",Arizona,(520) 327-0452,Tucson,32.25499,-110.94343,https://www.plazatucson.com/,Retail Store,,,,,
118,Poco Diablo,,"1752 State Route 179, Sedona, AZ 86336, USA",Arizona,(928) 282-7333,Sedona,34.86847,-111.76146,https://www.pocodiablo.com/,Bar/Restaurant,,,,,
119,Poppy's Office,,"34522 N Scottsdale Rd, Scottsdale, AZ 85266",Arizona,(480) 602 2906,Phoenix,33.79885,-111.931,https://poppysoffice.com/,Bar/Restaurant,,,,,
120,Portal,,"220 N 4th Ave, Tucson, AZ 85705, USA",Arizona,,Tucson,32.22435,-110.96534,https://www.portalcocktails.com/,Bar/Restaurant,,,,,
121,Quartz,,"341 W Van Buren St Suite B, Phoenix, AZ 85003",Arizona,(480) 725 5400,Phoenix,33.45113,-112.0786,https://quartzphx.com/,Bar/Restaurant,,,,,
122,Rafter Eleven,,"2985 Centre Ct, Prescott Valley, AZ 86314",Arizona,(928) 227 2050,Prescott,34.58618,-112.34012,https://www.raftereleven.com/,Bar/Restaurant,,,,,
123,Rascal at The Wilde Resort,,"2250 W State Rte 89A, Sedona, AZ 86336, USA",Arizona,(928) 852-1852,Sedona,34.864225,-111.79918,https://www.thewilderesort.com/rascal/,Bar/Restaurant,,,,,
124,Redwall Lounge,,"2130 Shelby Dr, Sedona, AZ 86336",Arizona,,Sedona,34.85399,-111.79761,https://redwalllounge.com/,Bar/Restaurant,,,,,
